time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/08/05/09:41:55.186610,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.299005,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.408468,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.519722,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.631686,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.742240,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.857254,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:55.970201,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.087191,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.215818,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.327349,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.440184,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.549457,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.659351,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.771033,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:56.882895,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.021713,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.157910,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.272982,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.385019,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.496060,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.633557,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.744957,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.860534,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:57.974149,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.089623,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.204562,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.312972,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.421232,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.536636,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.646484,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.755183,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.862618,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
2022/08/05/09:41:58.978828,1,0,1,3,3,3,3,3,3,0,0,6,0,0,7,0,0,6,0,0,137,0
