time,.data
2022/09/12/16:41:56.386384,5.532393694474917e-26
2022/09/12/16:41:56.595201,5.532393694474917e-26
2022/09/12/16:41:56.803723,5.532393694474917e-26
2022/09/12/16:41:57.013309,8.869530470758829e-26
2022/09/12/16:41:57.221728,5.532393694474917e-26
2022/09/12/16:41:57.428474,5.532393694474917e-26
2022/09/12/16:41:57.643440,5.532393694474917e-26
2022/09/12/16:41:57.852103,5.532393694474917e-26
2022/09/12/16:41:58.061523,5.532393694474917e-26
2022/09/12/16:41:58.270004,5.532393694474917e-26
2022/09/12/16:41:58.493576,5.532393694474917e-26
2022/09/12/16:41:58.702546,5.532393694474917e-26
2022/09/12/16:41:58.911259,5.532393694474917e-26
2022/09/12/16:41:59.120498,5.532393694474917e-26
2022/09/12/16:41:59.329248,8.869530470758829e-26
2022/09/12/16:41:59.539995,5.532393694474917e-26
2022/09/12/16:41:59.748720,5.532393694474917e-26
2022/09/12/16:41:59.957573,5.532393694474917e-26
2022/09/12/16:42:00.170406,5.532393694474917e-26
2022/09/12/16:42:00.379290,5.532393694474917e-26
2022/09/12/16:42:00.588606,5.532393694474917e-26
2022/09/12/16:42:00.795388,5.532393694474917e-26
2022/09/12/16:42:01.020959,1.8004443610795322e-25
2022/09/12/16:42:01.229687,5.532393694474917e-26
2022/09/12/16:42:01.438561,5.532393694474917e-26
2022/09/12/16:42:01.647472,7.004979451476028e-26
2022/09/12/16:42:01.856453,5.532393694474917e-26
2022/09/12/16:42:02.065218,5.532393694474917e-26
2022/09/12/16:42:02.273878,5.532393694474917e-26
2022/09/12/16:42:02.486821,5.532393694474917e-26
2022/09/12/16:42:02.695731,5.532393694474917e-26
2022/09/12/16:42:02.904805,5.532393694474917e-26
2022/09/12/16:42:03.113804,5.532393694474917e-26
2022/09/12/16:42:03.322686,7.004979451476028e-26
2022/09/12/16:42:03.549515,5.532393694474917e-26
2022/09/12/16:42:03.758097,5.532393694474917e-26
2022/09/12/16:42:03.966853,7.836893558502197
2022/09/12/16:42:04.174278,12.352325439453125
2022/09/12/16:42:04.378807,4.123770713806152
2022/09/12/16:42:04.587917,5.532393694474917e-26
2022/09/12/16:42:04.800826,5.532393694474917e-26
2022/09/12/16:42:05.009570,5.532393694474917e-26
2022/09/12/16:42:05.218529,5.532393694474917e-26
2022/09/12/16:42:05.427363,5.532393694474917e-26
2022/09/12/16:42:05.637032,5.532393694474917e-26
2022/09/12/16:42:05.845716,5.532393694474917e-26
2022/09/12/16:42:06.070928,5.532393694474917e-26
2022/09/12/16:42:06.280941,5.532393694474917e-26
2022/09/12/16:42:06.490468,5.532393694474917e-26
2022/09/12/16:42:06.697264,5.532393694474917e-26
2022/09/12/16:42:06.906141,5.532393694474917e-26
2022/09/12/16:42:07.115447,5.532393694474917e-26
2022/09/12/16:42:07.330645,5.532393694474917e-26
2022/09/12/16:42:07.537444,5.532393694474917e-26
2022/09/12/16:42:07.745665,5.532393694474917e-26
