time,.data
2022/09/08/13:07:01.989184,7.807678315001041e-20
2022/09/08/13:07:02.204768,7.807678315001041e-20
2022/09/08/13:07:02.415802,7.807678315001041e-20
2022/09/08/13:07:02.618073,7.807678315001041e-20
2022/09/08/13:07:02.827879,7.807678315001041e-20
2022/09/08/13:07:03.035788,7.807678315001041e-20
2022/09/08/13:07:03.246985,7.807678315001041e-20
2022/09/08/13:07:03.455600,7.807678315001041e-20
2022/09/08/13:07:03.681252,7.807678315001041e-20
2022/09/08/13:07:03.889570,7.807678315001041e-20
2022/09/08/13:07:04.096353,7.807678315001041e-20
2022/09/08/13:07:04.307187,7.807678315001041e-20
2022/09/08/13:07:04.518534,7.807678315001041e-20
2022/09/08/13:07:04.728812,2.3032526208991106e-19
2022/09/08/13:07:04.937560,7.807678315001041e-20
2022/09/08/13:07:05.145109,7.807678315001041e-20
2022/09/08/13:07:05.358382,7.807678315001041e-20
2022/09/08/13:07:05.565920,7.807678315001041e-20
2022/09/08/13:07:05.776133,7.807678315001041e-20
2022/09/08/13:07:05.980840,7.807678315001041e-20
2022/09/08/13:07:06.207776,0.34045130014419556
2022/09/08/13:07:06.416487,8.92951774597168
2022/09/08/13:07:06.621387,8.384666442871094
2022/09/08/13:07:06.824829,10.304664611816406
2022/09/08/13:07:07.034199,6.765496253967285
2022/09/08/13:07:07.239615,16.952489852905273
2022/09/08/13:07:07.444691,4.847936153411865
2022/09/08/13:07:07.651549,8.495160102844238
2022/09/08/13:07:07.856552,11.918105125427246
2022/09/08/13:07:08.061141,15.9779634475708
2022/09/08/13:07:08.266568,13.988425254821777
2022/09/08/13:07:08.470712,14.372689247131348
