time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/12/11:02:17.912692,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.019580,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.130188,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.238230,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.344853,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.453167,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.560825,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.666798,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.775040,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.881908,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:18.988743,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.097214,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.206134,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.313544,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.421204,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.528311,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.636992,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.747453,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.853597,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:19.960468,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.068381,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.180980,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.286249,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.392871,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.501944,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.611308,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.718776,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.825679,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:20.934653,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.041165,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.148001,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.258558,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.363528,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.469245,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.577718,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.683887,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.792930,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:21.900539,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:22.006536,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:22.113804,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:22.222423,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:22.328055,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/12/11:02:22.436213,1,0,1,3,0,0,0,0,3,0,255,7,1,0,6,1,0,6,0,0,137,0
2022/09/12/11:02:22.544755,1,0,1,3,0,0,0,0,3,0,255,9,2,0,9,2,0,8,2,0,137,0
2022/09/12/11:02:22.651178,1,0,1,3,0,0,0,0,3,0,255,11,2,0,11,2,0,11,2,0,137,0
2022/09/12/11:02:22.759763,1,0,1,3,0,0,0,0,3,0,255,14,2,0,14,2,0,14,2,0,137,0
2022/09/12/11:02:22.867646,1,0,1,3,0,0,0,0,3,0,255,17,2,0,17,2,0,17,2,0,137,0
2022/09/12/11:02:22.973040,1,0,1,3,0,0,0,0,3,0,255,20,2,0,20,2,0,20,2,0,137,0
2022/09/12/11:02:23.078916,1,0,1,3,0,0,0,0,3,0,255,22,2,0,22,2,0,22,2,0,137,0
2022/09/12/11:02:23.186653,1,0,1,3,0,0,0,0,3,0,255,25,2,0,25,2,0,25,2,0,137,0
2022/09/12/11:02:23.296292,1,0,1,3,0,0,0,0,3,0,255,28,2,0,28,2,0,28,2,0,137,0
2022/09/12/11:02:23.402314,1,0,1,3,0,0,0,0,3,0,255,30,2,0,30,2,0,30,2,0,137,0
2022/09/12/11:02:23.508050,1,0,1,3,0,0,0,0,3,0,255,33,2,0,33,2,0,33,2,0,137,0
2022/09/12/11:02:23.616155,1,0,1,3,0,0,0,0,3,0,255,36,2,0,36,2,0,36,2,0,137,0
2022/09/12/11:02:23.724628,1,0,1,3,0,0,0,0,3,0,255,39,2,0,39,2,0,39,2,0,137,0
2022/09/12/11:02:23.833796,1,0,1,3,0,0,0,0,3,0,255,41,2,0,41,2,0,41,2,0,137,0
2022/09/12/11:02:23.940940,1,0,1,3,0,0,0,0,3,0,255,44,2,0,44,2,0,44,2,0,137,0
2022/09/12/11:02:24.054135,1,0,1,3,0,0,0,0,3,0,255,47,2,0,47,2,0,47,2,0,137,0
2022/09/12/11:02:24.170136,1,0,1,3,0,0,0,0,3,0,255,49,2,0,49,2,0,49,2,0,137,0
2022/09/12/11:02:24.278622,1,0,1,3,0,0,0,0,3,0,255,52,2,0,52,2,0,52,2,0,137,0
2022/09/12/11:02:24.386671,1,0,1,3,0,0,0,0,3,0,255,55,2,0,55,2,0,55,2,0,137,0
2022/09/12/11:02:24.493634,1,0,1,3,0,0,0,0,3,0,255,58,2,0,58,2,0,58,2,0,137,0
2022/09/12/11:02:24.603629,1,0,1,3,0,0,0,0,3,0,255,60,2,0,60,2,0,60,2,0,137,0
2022/09/12/11:02:24.714340,1,0,1,3,0,0,0,0,3,0,255,63,5,0,63,3,0,63,3,0,137,0
2022/09/12/11:02:24.820538,1,0,1,3,0,0,0,0,3,0,255,64,0,0,65,8,0,65,11,0,137,0
2022/09/12/11:02:24.927642,1,0,1,3,0,2,0,0,3,0,255,64,0,0,67,18,0,67,21,0,137,0
2022/09/12/11:02:25.036391,1,0,1,3,2,2,2,2,3,0,255,64,0,0,68,0,0,67,0,0,137,0
2022/09/12/11:02:25.143891,1,0,1,3,2,2,2,2,3,0,255,64,0,0,68,0,0,67,0,0,137,0
2022/09/12/11:02:25.254432,1,0,1,3,2,2,2,2,3,0,255,64,0,0,68,0,0,67,0,0,137,0
2022/09/12/11:02:25.360555,1,0,1,3,0,0,0,0,3,0,0,64,3,0,67,3,0,67,3,0,137,0
2022/09/12/11:02:25.471783,1,0,1,3,0,0,0,0,3,0,0,62,2,0,65,2,0,65,2,0,137,0
2022/09/12/11:02:25.582649,1,0,1,3,0,0,0,0,3,0,0,59,2,0,62,2,0,62,2,0,137,0
2022/09/12/11:02:25.690476,1,0,1,3,0,0,0,0,3,0,0,57,2,0,60,2,0,59,2,0,137,0
2022/09/12/11:02:25.799037,1,0,1,3,0,0,0,0,3,0,255,54,5,0,58,4,0,57,4,0,137,0
2022/09/12/11:02:25.908229,1,0,1,3,0,0,0,0,3,0,255,58,2,0,60,2,0,59,2,0,137,0
2022/09/12/11:02:26.015617,1,0,1,3,0,0,0,0,3,0,255,61,2,0,63,2,0,62,2,0,137,0
2022/09/12/11:02:26.122215,1,0,1,3,0,0,0,0,3,0,255,64,10,0,65,5,0,64,5,0,137,0
2022/09/12/11:02:26.228175,1,0,1,3,0,2,0,0,3,0,255,64,0,0,67,16,0,66,15,0,137,0
2022/09/12/11:02:26.336210,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.442662,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.552337,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.660549,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.768270,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.876616,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
2022/09/12/11:02:26.985224,1,0,1,3,2,2,2,2,3,0,255,64,0,0,67,0,0,67,0,0,137,0
