time,.data
2022/09/07/14:23:21.524959,5.532393694474917e-26
2022/09/07/14:23:21.733960,5.532393694474917e-26
2022/09/07/14:23:21.947528,5.532393694474917e-26
2022/09/07/14:23:22.152384,5.532393694474917e-26
2022/09/07/14:23:22.360645,5.532393694474917e-26
2022/09/07/14:23:22.567074,5.532393694474917e-26
2022/09/07/14:23:22.790956,5.532393694474917e-26
2022/09/07/14:23:22.999255,5.532393694474917e-26
2022/09/07/14:23:23.210655,5.532393694474917e-26
2022/09/07/14:23:23.418908,5.532393694474917e-26
2022/09/07/14:23:23.626526,5.532393694474917e-26
2022/09/07/14:23:23.833558,5.532393694474917e-26
2022/09/07/14:23:24.041802,5.532393694474917e-26
2022/09/07/14:23:24.249356,5.532393694474917e-26
2022/09/07/14:23:24.458161,5.532393694474917e-26
2022/09/07/14:23:24.670331,5.532393694474917e-26
2022/09/07/14:23:24.876987,5.532393694474917e-26
2022/09/07/14:23:25.079985,5.532393694474917e-26
2022/09/07/14:23:25.305123,5.532393694474917e-26
2022/09/07/14:23:25.515212,5.532393694474917e-26
2022/09/07/14:23:25.724758,5.532393694474917e-26
2022/09/07/14:23:25.931867,5.532393694474917e-26
2022/09/07/14:23:26.141923,5.532393694474917e-26
2022/09/07/14:23:26.347649,5.532393694474917e-26
2022/09/07/14:23:26.554250,5.532393694474917e-26
2022/09/07/14:23:26.763566,7.004979451476028e-26
2022/09/07/14:23:26.972740,5.532393694474917e-26
2022/09/07/14:23:27.185349,5.532393694474917e-26
2022/09/07/14:23:27.392101,5.532393694474917e-26
2022/09/07/14:23:27.594888,5.532393694474917e-26
2022/09/07/14:23:27.822030,5.532393694474917e-26
2022/09/07/14:23:28.030999,5.532393694474917e-26
2022/09/07/14:23:28.241053,5.532393694474917e-26
2022/09/07/14:23:28.446546,5.532393694474917e-26
2022/09/07/14:23:28.657148,5.532393694474917e-26
2022/09/07/14:23:28.860420,5.532393694474917e-26
2022/09/07/14:23:29.069172,8.869530470758829e-26
2022/09/07/14:23:29.279476,5.532393694474917e-26
2022/09/07/14:23:29.487366,5.532393694474917e-26
2022/09/07/14:23:29.698102,5.532393694474917e-26
2022/09/07/14:23:29.904640,5.532393694474917e-26
2022/09/07/14:23:30.111521,5.532393694474917e-26
2022/09/07/14:23:30.337430,5.532393694474917e-26
2022/09/07/14:23:30.544920,5.532393694474917e-26
2022/09/07/14:23:30.754019,5.532393694474917e-26
2022/09/07/14:23:30.963978,5.532393694474917e-26
2022/09/07/14:23:31.172435,5.532393694474917e-26
2022/09/07/14:23:31.374909,5.532393694474917e-26
2022/09/07/14:23:31.588119,5.532393694474917e-26
2022/09/07/14:23:31.792767,5.532393694474917e-26
2022/09/07/14:23:32.002498,5.532393694474917e-26
2022/09/07/14:23:32.222759,5.532393694474917e-26
2022/09/07/14:23:32.420796,5.532393694474917e-26
2022/09/07/14:23:32.626190,5.532393694474917e-26
2022/09/07/14:23:32.850638,5.532393694474917e-26
2022/09/07/14:23:33.059003,5.532393694474917e-26
2022/09/07/14:23:33.268127,5.532393694474917e-26
2022/09/07/14:23:33.476216,5.532393694474917e-26
2022/09/07/14:23:33.686216,5.532393694474917e-26
2022/09/07/14:23:33.890411,5.532393694474917e-26
2022/09/07/14:23:34.101872,5.532393694474917e-26
2022/09/07/14:23:34.310009,5.532393694474917e-26
2022/09/07/14:23:34.517536,5.532393694474917e-26
2022/09/07/14:23:34.726280,5.532393694474917e-26
2022/09/07/14:23:34.935246,5.532393694474917e-26
2022/09/07/14:23:35.141586,7.004979451476028e-26
2022/09/07/14:23:35.364197,5.532393694474917e-26
2022/09/07/14:23:35.576221,5.532393694474917e-26
2022/09/07/14:23:35.784374,5.532393694474917e-26
2022/09/07/14:23:35.992573,5.532393694474917e-26
2022/09/07/14:23:36.200387,5.532393694474917e-26
2022/09/07/14:23:36.404511,5.532393694474917e-26
2022/09/07/14:23:36.615431,5.532393694474917e-26
2022/09/07/14:23:36.823766,5.532393694474917e-26
2022/09/07/14:23:37.033097,5.532393694474917e-26
2022/09/07/14:23:37.242871,5.532393694474917e-26
2022/09/07/14:23:37.448982,5.532393694474917e-26
2022/09/07/14:23:37.655765,5.532393694474917e-26
2022/09/07/14:23:37.879220,16.02783966064453
2022/09/07/14:23:38.084477,30.60310173034668
2022/09/07/14:23:38.289935,86.92507934570312
2022/09/07/14:23:38.501636,0.0
2022/09/07/14:23:38.704142,38.7491569519043
2022/09/07/14:23:38.906964,45.273338317871094
2022/09/07/14:23:39.115928,45.273338317871094
2022/09/07/14:23:39.322182,45.273338317871094
2022/09/07/14:23:39.529469,45.273338317871094
2022/09/07/14:23:39.734437,45.273338317871094
2022/09/07/14:23:39.931070,45.273338317871094
2022/09/07/14:23:40.136778,38.7491569519043
2022/09/07/14:23:40.342225,45.273338317871094
2022/09/07/14:23:40.561805,45.273338317871094
2022/09/07/14:23:40.763104,45.273338317871094
2022/09/07/14:23:40.967291,35.755733489990234
2022/09/07/14:23:41.168036,29.398401260375977
2022/09/07/14:23:41.374670,67.81829071044922
2022/09/07/14:23:41.582864,46.81963348388672
2022/09/07/14:23:41.778478,38.7491569519043
2022/09/07/14:23:41.984964,45.273338317871094
2022/09/07/14:23:42.188325,45.273338317871094
2022/09/07/14:23:42.394547,45.273338317871094
2022/09/07/14:23:42.594546,45.273338317871094
2022/09/07/14:23:42.799794,45.273338317871094
2022/09/07/14:23:43.000489,38.7491569519043
