time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/16:11:11.775468,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:11:11.884220,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:11:11.991506,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:11:12.099142,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:11:12.205832,1,0,1,3,0,0,0,0,3,0,255,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:11:12.314068,1,0,1,3,0,0,0,0,3,0,255,7,1,0,7,1,0,7,1,0,137,0
2022/09/09/16:11:12.423149,1,0,1,3,0,0,0,0,3,0,255,9,2,0,9,2,0,9,2,0,137,0
2022/09/09/16:11:12.546813,1,0,1,3,0,0,0,0,3,0,255,12,2,0,12,2,0,12,2,0,137,0
2022/09/09/16:11:12.655259,1,0,1,3,0,0,0,0,3,0,255,15,2,0,15,2,0,15,2,0,137,0
2022/09/09/16:11:12.764753,1,0,1,3,0,0,0,0,3,0,255,17,1,0,17,2,0,17,2,0,137,0
2022/09/09/16:11:12.871917,1,0,1,3,0,0,0,0,3,0,255,20,2,0,20,2,0,20,2,0,137,0
2022/09/09/16:11:12.981302,1,0,1,3,0,0,0,0,3,0,255,23,2,0,23,2,0,23,2,0,137,0
2022/09/09/16:11:13.091120,1,0,1,3,0,0,0,0,3,0,255,26,2,0,26,2,0,26,2,0,137,0
2022/09/09/16:11:13.196735,1,0,1,3,0,0,0,0,3,0,255,28,2,0,28,2,0,28,2,0,137,0
2022/09/09/16:11:13.307291,1,0,1,3,0,0,0,0,3,0,255,31,2,0,31,2,0,31,2,0,137,0
2022/09/09/16:11:13.415940,1,0,1,3,0,0,0,0,3,0,255,34,2,0,34,2,0,34,2,0,137,0
2022/09/09/16:11:13.523866,1,0,1,3,0,0,0,0,3,0,255,37,2,0,37,2,0,37,2,0,137,0
2022/09/09/16:11:13.630286,1,0,1,3,0,0,0,0,3,0,255,39,2,0,39,2,0,39,2,0,137,0
2022/09/09/16:11:13.737506,1,0,1,3,0,0,0,0,3,0,255,42,2,0,42,2,0,42,2,0,137,0
2022/09/09/16:11:13.843237,1,0,1,3,0,0,0,0,3,0,255,45,2,0,45,2,0,45,2,0,137,0
2022/09/09/16:11:13.949733,1,0,1,3,0,0,0,0,3,0,255,47,2,0,47,2,0,47,2,0,137,0
2022/09/09/16:11:14.056929,1,0,1,3,0,0,0,0,3,0,255,50,2,0,50,2,0,50,2,0,137,0
2022/09/09/16:11:14.164483,1,0,1,3,0,0,0,0,3,0,255,53,2,0,53,2,0,53,2,0,137,0
2022/09/09/16:11:14.271699,1,0,1,3,0,0,0,0,3,0,255,56,2,0,55,2,0,56,2,0,137,0
2022/09/09/16:11:14.377079,1,0,1,3,0,0,0,0,3,0,255,58,2,0,58,2,0,58,2,0,137,0
2022/09/09/16:11:14.483638,1,0,1,3,0,0,0,0,3,0,255,61,2,0,61,2,0,61,2,0,137,0
2022/09/09/16:11:14.592927,1,0,1,3,0,0,0,0,3,0,255,64,2,0,64,2,0,64,2,0,137,0
2022/09/09/16:11:14.695650,1,0,1,3,0,0,0,0,3,0,255,66,2,0,66,2,0,66,2,0,137,0
2022/09/09/16:11:14.801970,1,0,1,3,0,0,0,0,3,0,255,69,2,0,69,2,0,69,2,0,137,0
2022/09/09/16:11:14.907491,1,0,1,3,0,0,0,0,3,0,255,71,2,0,71,2,0,71,2,0,137,0
2022/09/09/16:11:15.013217,1,0,1,3,0,0,0,0,3,0,255,74,2,0,74,2,0,74,2,0,137,0
