time,.rACT,.rMOD,.rGTO,.rATR,.rGLV,.rICF,.rICS,.rPRA,.rSPA,.rFRA,.rPRB,.rSPB,.rFRB,.rPRC,.rSPC,.rFRC,.rPRS,.rSPS,.rFRS
2022/08/05/09:40:42.353352,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:40:51.713622,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:40:57.608357,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:03.089374,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:07.762669,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:13.532158,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:18.301640,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:22.706751,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:27.833090,1,0,1,0,0,0,0,120,0,150,0,0,0,0,0,0,0,0,0
2022/08/05/09:41:33.466312,1,0,1,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0
