time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/16:04:30.681462,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:30.790077,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:30.898086,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.003356,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.112228,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.220737,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.327372,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.443183,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.553132,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.664046,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.764999,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.873096,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:31.981160,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.087914,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.195679,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.303716,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.410696,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.516478,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.622870,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.733779,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.841369,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:04:32.949805,1,0,1,3,0,0,0,0,3,0,255,7,1,0,6,0,0,7,1,0,137,0
2022/09/09/16:04:33.058303,1,0,1,3,0,0,0,0,3,0,255,9,2,0,7,2,0,9,1,0,137,0
2022/09/09/16:04:33.167592,1,0,1,3,0,0,0,0,3,0,255,11,2,0,10,2,0,11,2,0,137,0
2022/09/09/16:04:33.275459,1,0,1,3,0,0,0,0,3,0,255,14,2,0,13,2,0,14,2,0,137,0
2022/09/09/16:04:33.382044,1,0,1,3,0,0,0,0,3,0,255,17,2,0,16,2,0,17,2,0,137,0
2022/09/09/16:04:33.487460,1,0,1,3,0,0,0,0,3,0,255,19,2,0,19,2,0,19,2,0,137,0
2022/09/09/16:04:33.593825,1,0,1,3,0,0,0,0,3,0,255,22,2,0,22,2,0,22,2,0,137,0
2022/09/09/16:04:33.702008,1,0,1,3,0,0,0,0,3,0,255,25,2,0,25,2,0,25,2,0,137,0
2022/09/09/16:04:33.809650,1,0,1,3,0,0,0,0,3,0,255,28,2,0,28,2,0,28,2,0,137,0
2022/09/09/16:04:33.917929,1,0,1,3,0,0,0,0,3,0,255,30,2,0,30,2,0,30,2,0,137,0
2022/09/09/16:04:34.024525,1,0,1,3,0,0,0,0,3,0,255,33,2,0,33,2,0,33,2,0,137,0
2022/09/09/16:04:34.133989,1,0,1,3,0,0,0,0,3,0,255,36,2,0,36,2,0,36,2,0,137,0
2022/09/09/16:04:34.240372,1,0,1,3,0,0,0,0,3,0,255,38,2,0,38,2,0,38,2,0,137,0
2022/09/09/16:04:34.348536,1,0,1,3,0,0,0,0,3,0,255,41,2,0,41,2,0,41,2,0,137,0
2022/09/09/16:04:34.458377,1,0,1,3,0,0,0,0,3,0,255,44,2,0,44,2,0,44,2,0,137,0
2022/09/09/16:04:34.565120,1,0,1,3,0,0,0,0,3,0,255,47,2,0,46,2,0,47,2,0,137,0
2022/09/09/16:04:34.671121,1,0,1,3,0,0,0,0,3,0,255,49,2,0,49,2,0,49,2,0,137,0
2022/09/09/16:04:34.778065,1,0,1,3,0,0,0,0,3,0,255,52,2,0,52,2,0,52,2,0,137,0
2022/09/09/16:04:34.884314,1,0,1,3,0,0,0,0,3,0,255,55,2,0,55,2,0,55,2,0,137,0
2022/09/09/16:04:34.995018,1,0,1,3,0,0,0,0,3,0,255,57,2,0,57,2,0,57,2,0,137,0
2022/09/09/16:04:35.102912,1,0,1,3,0,0,0,0,3,0,255,60,2,0,60,2,0,60,2,0,137,0
2022/09/09/16:04:35.212363,1,0,1,3,0,0,0,0,3,0,255,63,2,0,63,2,0,63,2,0,137,0
2022/09/09/16:04:35.318598,1,0,1,3,0,0,0,0,3,0,255,66,2,0,66,2,0,66,2,0,137,0
2022/09/09/16:04:35.424653,1,0,1,3,0,0,0,0,3,0,255,68,2,0,68,2,0,68,3,0,137,0
2022/09/09/16:04:35.533221,1,0,1,3,0,0,0,0,3,0,255,71,4,0,71,2,0,71,5,0,137,0
2022/09/09/16:04:35.639426,1,0,1,3,0,0,0,0,3,0,255,73,8,0,74,2,0,73,8,0,137,0
2022/09/09/16:04:35.750982,1,0,1,3,0,0,0,0,3,0,255,76,11,0,76,2,0,76,12,0,137,0
2022/09/09/16:04:35.857199,1,0,1,3,0,0,0,0,3,0,255,78,19,0,79,2,0,78,20,0,137,0
2022/09/09/16:04:35.969918,1,0,1,3,0,0,0,0,3,0,255,80,24,0,81,2,0,80,27,0,137,0
2022/09/09/16:04:36.076808,1,0,1,3,0,0,0,0,3,0,255,83,36,0,84,2,0,83,36,0,137,0
2022/09/09/16:04:36.182387,1,0,1,3,0,0,0,0,3,0,0,83,1,0,86,5,0,83,1,0,137,0
2022/09/09/16:04:36.289073,1,0,1,3,0,0,0,0,3,0,0,81,4,0,84,2,0,81,4,0,137,0
2022/09/09/16:04:36.397513,1,0,1,3,0,0,0,0,3,0,0,78,3,0,81,2,0,78,3,0,137,0
2022/09/09/16:04:36.504411,1,0,1,3,0,0,0,0,3,0,255,75,2,0,79,2,0,76,2,0,137,0
2022/09/09/16:04:36.611481,1,0,1,3,0,0,0,0,3,0,255,78,13,0,81,2,0,78,14,0,137,0
2022/09/09/16:04:36.719325,1,0,1,3,0,0,0,0,3,0,255,80,21,0,84,2,0,80,24,0,137,0
2022/09/09/16:04:36.827554,1,0,1,3,0,2,0,2,3,0,255,81,0,0,87,2,0,80,0,0,137,0
2022/09/09/16:04:36.935702,1,0,1,3,0,2,0,2,3,0,255,81,0,0,89,2,0,80,0,0,137,0
2022/09/09/16:04:37.044554,1,0,1,3,0,2,0,2,3,0,255,81,0,0,92,2,0,80,0,0,137,0
2022/09/09/16:04:37.152651,1,0,1,3,0,2,0,2,3,0,255,81,0,0,95,2,0,80,0,0,137,0
2022/09/09/16:04:37.263133,1,0,1,3,0,2,0,2,3,0,255,81,0,0,98,2,0,80,0,0,137,0
2022/09/09/16:04:37.373057,1,0,1,3,0,2,0,2,3,0,255,81,0,0,100,2,0,80,0,0,137,0
2022/09/09/16:04:37.484933,1,0,1,3,0,2,0,2,3,0,255,81,0,0,103,2,0,80,0,0,137,0
2022/09/09/16:04:37.590713,1,0,1,3,0,2,0,2,3,0,255,81,0,0,106,2,0,80,0,0,137,0
2022/09/09/16:04:37.698694,1,0,1,3,0,2,0,2,3,0,255,81,0,0,109,2,0,80,0,0,137,0
2022/09/09/16:04:37.805770,1,0,1,3,0,2,0,2,3,0,255,81,0,0,111,2,0,80,0,0,137,0
2022/09/09/16:04:37.915479,1,0,1,3,0,2,0,2,3,0,255,81,0,0,114,2,0,80,0,0,137,0
2022/09/09/16:04:38.021869,1,0,1,3,0,2,0,2,3,0,255,81,0,0,117,2,0,80,0,0,137,0
2022/09/09/16:04:38.128949,1,0,1,3,0,2,0,2,3,0,255,81,0,0,120,2,0,80,0,0,137,0
2022/09/09/16:04:38.235001,1,0,1,3,0,2,0,2,3,0,255,81,0,0,122,2,0,80,0,0,137,0
2022/09/09/16:04:38.341366,1,0,1,3,0,2,0,2,3,0,255,81,0,0,125,2,0,80,0,0,137,0
2022/09/09/16:04:38.450162,1,0,1,3,0,2,0,2,3,0,255,81,0,0,128,2,0,80,0,0,137,0
2022/09/09/16:04:38.556787,1,0,1,3,0,2,0,2,3,0,255,81,0,0,131,2,0,80,0,0,137,0
