time,.data
2022/09/12/16:55:40.023795,5.532393694474917e-26
2022/09/12/16:55:40.231596,5.532393694474917e-26
2022/09/12/16:55:40.456576,5.532393694474917e-26
2022/09/12/16:55:40.665647,5.532393694474917e-26
2022/09/12/16:55:40.881043,5.532393694474917e-26
2022/09/12/16:55:41.088421,5.532393694474917e-26
2022/09/12/16:55:41.297130,5.532393694474917e-26
2022/09/12/16:55:41.506790,5.532393694474917e-26
2022/09/12/16:55:41.716749,5.532393694474917e-26
2022/09/12/16:55:41.923982,5.532393694474917e-26
2022/09/12/16:55:42.131241,5.532393694474917e-26
2022/09/12/16:55:42.340238,5.532393694474917e-26
2022/09/12/16:55:42.549009,5.532393694474917e-26
2022/09/12/16:55:42.758543,5.532393694474917e-26
2022/09/12/16:55:42.983527,5.532393694474917e-26
2022/09/12/16:55:43.197869,5.532393694474917e-26
2022/09/12/16:55:43.407164,5.532393694474917e-26
2022/09/12/16:55:43.613895,5.532393694474917e-26
2022/09/12/16:55:43.824903,5.532393694474917e-26
2022/09/12/16:55:44.033539,5.532393694474917e-26
2022/09/12/16:55:44.240728,5.532393694474917e-26
2022/09/12/16:55:44.449727,5.532393694474917e-26
2022/09/12/16:55:44.660297,5.532393694474917e-26
2022/09/12/16:55:44.869029,5.532393694474917e-26
2022/09/12/16:55:45.076605,5.532393694474917e-26
2022/09/12/16:55:45.285366,5.532393694474917e-26
2022/09/12/16:55:45.514528,5.532393694474917e-26
2022/09/12/16:55:45.723109,5.532393694474917e-26
2022/09/12/16:55:45.932360,5.532393694474917e-26
2022/09/12/16:55:46.142852,5.532393694474917e-26
2022/09/12/16:55:46.351755,5.532393694474917e-26
2022/09/12/16:55:46.560719,5.532393694474917e-26
2022/09/12/16:55:46.769812,5.532393694474917e-26
2022/09/12/16:55:46.978519,5.532393694474917e-26
2022/09/12/16:55:47.185532,5.532393694474917e-26
2022/09/12/16:55:47.394465,5.532393694474917e-26
2022/09/12/16:55:47.606023,5.532393694474917e-26
2022/09/12/16:55:47.814025,5.532393694474917e-26
2022/09/12/16:55:48.042981,5.532393694474917e-26
2022/09/12/16:55:48.250134,5.532393694474917e-26
2022/09/12/16:55:48.459457,5.532393694474917e-26
2022/09/12/16:55:48.668485,5.532393694474917e-26
2022/09/12/16:55:48.876889,5.532393694474917e-26
2022/09/12/16:55:49.085832,1.1230319989149148e-25
2022/09/12/16:55:49.294657,7.004979451476028e-26
2022/09/12/16:55:49.503493,5.532393694474917e-26
2022/09/12/16:55:49.712484,5.532393694474917e-26
2022/09/12/16:55:49.921612,1.906844440861545e-24
2022/09/12/16:55:50.132294,5.532393694474917e-26
2022/09/12/16:55:50.339157,5.532393694474917e-26
2022/09/12/16:55:50.568496,5.530579930690491e-26
2022/09/12/16:55:50.777251,7.004979451476028e-26
2022/09/12/16:55:50.986115,8.869530470758829e-26
2022/09/12/16:55:51.195050,5.532393694474917e-26
2022/09/12/16:55:51.404117,5.532393694474917e-26
2022/09/12/16:55:51.612850,5.532393694474917e-26
2022/09/12/16:55:51.824727,3.6547785223040734e-25
2022/09/12/16:55:52.032473,5.532393694474917e-26
2022/09/12/16:55:52.241359,5.532393694474917e-26
2022/09/12/16:55:52.450670,7.004979451476028e-26
2022/09/12/16:55:52.659166,1.1230319989149148e-25
2022/09/12/16:55:52.871994,5.532393694474917e-26
2022/09/12/16:55:53.091570,2.5104849338531494
2022/09/12/16:55:53.300358,6.231644630432129
2022/09/12/16:55:53.511136,4.176456928253174
2022/09/12/16:55:53.718236,8.982301712036133
2022/09/12/16:55:53.927062,5.532393694474917e-26
2022/09/12/16:55:54.136055,5.532393694474917e-26
2022/09/12/16:55:54.345561,5.532393694474917e-26
2022/09/12/16:55:54.553893,5.532393694474917e-26
2022/09/12/16:55:54.763415,5.532393694474917e-26
2022/09/12/16:55:54.972628,5.532393694474917e-26
2022/09/12/16:55:55.186393,5.532393694474917e-26
2022/09/12/16:55:55.395010,5.532393694474917e-26
2022/09/12/16:55:55.620495,5.532393694474917e-26
2022/09/12/16:55:55.827454,5.532393694474917e-26
