time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/15:57:54.352704,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:54.460431,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:54.567740,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:54.678423,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:54.787079,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:54.895764,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.004822,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.111605,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.221802,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.333463,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.444180,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.557096,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.666797,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.774123,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.882274,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:55.990277,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.098571,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.206399,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.317496,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.429679,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.537542,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.644943,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
2022/09/09/15:57:56.753194,1,0,1,3,1,2,3,2,3,0,255,81,0,0,240,0,0,79,0,0,137,0
