time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/15:28:45.963257,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.071448,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.178156,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.285013,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.391442,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.498160,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.605205,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/15:28:46.709872,1,0,1,3,0,0,0,0,3,0,255,7,1,0,7,1,0,7,1,0,137,0
2022/09/09/15:28:46.819290,1,0,1,3,0,0,0,0,3,0,255,9,2,0,9,2,0,9,2,0,137,0
2022/09/09/15:28:46.925926,1,0,1,3,0,0,0,0,3,0,255,11,2,0,11,2,0,11,2,0,137,0
2022/09/09/15:28:47.031312,1,0,1,3,0,0,0,0,3,0,255,14,2,0,14,2,0,14,2,0,137,0
2022/09/09/15:28:47.140128,1,0,1,3,0,0,0,0,3,0,255,17,2,0,17,2,0,17,2,0,137,0
2022/09/09/15:28:47.247696,1,0,1,3,0,0,0,0,3,0,255,20,2,0,20,2,0,20,2,0,137,0
2022/09/09/15:28:47.357704,1,0,1,3,0,0,0,0,3,0,255,22,2,0,22,2,0,22,2,0,137,0
2022/09/09/15:28:47.469249,1,0,1,3,0,0,0,0,3,0,255,25,2,0,25,2,0,25,2,0,137,0
2022/09/09/15:28:47.575660,1,0,1,3,0,0,0,0,3,0,255,28,2,0,28,2,0,28,2,0,137,0
2022/09/09/15:28:47.683491,1,0,1,3,0,0,0,0,3,0,255,31,2,0,31,2,0,31,2,0,137,0
2022/09/09/15:28:47.788860,1,0,1,3,0,0,0,0,3,0,255,34,2,0,33,2,0,33,2,0,137,0
2022/09/09/15:28:47.894468,1,0,1,3,0,0,0,0,3,0,255,36,2,0,36,2,0,36,2,0,137,0
2022/09/09/15:28:48.003000,1,0,1,3,0,0,0,0,3,0,255,39,2,0,39,2,0,39,2,0,137,0
2022/09/09/15:28:48.109389,1,0,1,3,0,0,0,0,3,0,255,42,2,0,42,2,0,42,2,0,137,0
2022/09/09/15:28:48.214716,1,0,1,3,0,0,0,0,3,0,255,44,2,0,44,2,0,44,2,0,137,0
2022/09/09/15:28:48.320595,1,0,1,3,0,0,0,0,3,0,255,47,2,0,47,2,0,47,2,0,137,0
2022/09/09/15:28:48.425127,1,0,1,3,0,0,0,0,3,0,255,50,2,0,50,2,0,50,2,0,137,0
2022/09/09/15:28:48.531511,1,0,1,3,0,0,0,0,3,0,255,52,2,0,52,2,0,52,2,0,137,0
2022/09/09/15:28:48.637461,1,0,1,3,0,0,0,0,3,0,255,55,2,0,55,2,0,55,2,0,137,0
2022/09/09/15:28:48.743834,1,0,1,3,0,0,0,0,3,0,255,58,2,0,58,2,0,58,2,0,137,0
2022/09/09/15:28:48.847801,1,0,1,3,0,0,0,0,3,0,255,60,2,0,60,2,0,60,2,0,137,0
2022/09/09/15:28:48.952535,1,0,1,3,0,0,0,0,3,0,255,63,5,0,63,3,0,63,3,0,137,0
2022/09/09/15:28:49.057349,1,0,1,3,0,0,0,0,3,0,255,64,24,0,65,6,0,65,12,0,137,0
2022/09/09/15:28:49.162603,1,0,1,3,0,2,0,0,3,0,255,65,0,0,67,15,0,66,28,0,137,0
2022/09/09/15:28:49.272895,1,0,1,3,0,2,0,2,3,0,255,65,0,0,69,33,0,67,0,0,137,0
2022/09/09/15:28:49.379615,1,0,1,3,2,2,2,2,3,0,255,65,0,0,69,0,0,67,0,0,137,0
2022/09/09/15:28:49.487841,1,0,1,3,0,0,0,0,3,0,0,64,2,0,68,2,0,67,1,0,137,0
2022/09/09/15:28:49.594654,1,0,1,3,0,0,0,0,3,0,0,62,3,0,66,2,0,65,2,0,137,0
2022/09/09/15:28:49.701036,1,0,1,3,0,0,0,0,3,0,255,60,5,0,64,5,0,62,4,0,137,0
2022/09/09/15:28:49.807122,1,0,1,3,0,0,0,0,3,0,255,63,7,0,66,3,0,64,4,0,137,0
2022/09/09/15:28:49.912429,1,0,1,3,0,0,0,0,3,0,255,64,0,0,68,15,0,66,19,0,137,0
