time,.data
2022/09/12/13:17:07.759284,5.532393694474917e-26
2022/09/12/13:17:07.972723,5.532393694474917e-26
2022/09/12/13:17:08.181923,5.532393694474917e-26
2022/09/12/13:17:08.391511,5.532393694474917e-26
2022/09/12/13:17:08.599968,5.532393694474917e-26
2022/09/12/13:17:08.827877,5.532393694474917e-26
2022/09/12/13:17:09.016538,5.532393694474917e-26
2022/09/12/13:17:09.224943,5.532393694474917e-26
2022/09/12/13:17:09.439710,5.532393694474917e-26
2022/09/12/13:17:09.642599,5.532393694474917e-26
2022/09/12/13:17:09.869751,5.532393694474917e-26
2022/09/12/13:17:10.080348,5.532393694474917e-26
2022/09/12/13:17:10.291015,5.532393694474917e-26
2022/09/12/13:17:10.504034,5.532393694474917e-26
2022/09/12/13:17:10.708864,5.532393694474917e-26
2022/09/12/13:17:10.916116,5.532393694474917e-26
2022/09/12/13:17:11.125832,7.004979451476028e-26
2022/09/12/13:17:11.335984,5.532393694474917e-26
2022/09/12/13:17:11.544548,5.532393694474917e-26
2022/09/12/13:17:11.754103,4.62759020422808e-25
2022/09/12/13:17:11.962990,1.1230319989149148e-25
2022/09/12/13:17:12.169672,5.532393694474917e-26
2022/09/12/13:17:12.399016,5.532393694474917e-26
2022/09/12/13:17:12.605702,0.7363790273666382
2022/09/12/13:17:12.812579,2.53593373298645
2022/09/12/13:17:13.023204,12.530774116516113
2022/09/12/13:17:13.226595,20.095439910888672
2022/09/12/13:17:13.436221,11.198628425598145
2022/09/12/13:17:13.642073,15.425116539001465
2022/09/12/13:17:13.849064,1.3476827556874893e-16
2022/09/12/13:17:14.058054,0.06318578869104385
2022/09/12/13:17:14.268615,10.857563018798828
2022/09/12/13:17:14.473300,18.69674301147461
2022/09/12/13:17:14.680513,2.0779647827148438
2022/09/12/13:17:14.905362,8.662613868713379
2022/09/12/13:17:15.114828,21.37451934814453
2022/09/12/13:17:15.323544,8.577905654907227
2022/09/12/13:17:15.528021,4.440459251403809
2022/09/12/13:17:15.739102,4.304628849029541
