time,.data
2022/09/07/15:01:09.952730,5.532393694474917e-26
2022/09/07/15:01:10.161699,5.532393694474917e-26
2022/09/07/15:01:10.368690,5.532393694474917e-26
2022/09/07/15:01:10.577494,5.532393694474917e-26
2022/09/07/15:01:10.786810,5.532393694474917e-26
2022/09/07/15:01:10.995213,2.4143993222177807e-24
2022/09/07/15:01:11.200534,5.532393694474917e-26
2022/09/07/15:01:11.410408,5.532393694474917e-26
2022/09/07/15:01:11.619313,1.4219551849898292e-25
2022/09/07/15:01:11.826985,5.859339315315061e-25
2022/09/07/15:01:12.035561,5.532393694474917e-26
2022/09/07/15:01:12.257323,5.532393694474917e-26
2022/09/07/15:01:12.467204,5.532393694474917e-26
2022/09/07/15:01:12.676054,5.532393694474917e-26
2022/09/07/15:01:12.883620,5.532393694474917e-26
2022/09/07/15:01:13.093952,5.532393694474917e-26
2022/09/07/15:01:13.298204,0.4089508354663849
2022/09/07/15:01:13.511654,2.80338454246521
2022/09/07/15:01:13.713709,2.814785957336426
2022/09/07/15:01:13.922117,2.2972912788391113
2022/09/07/15:01:14.130811,3.044438362121582
2022/09/07/15:01:14.333449,1.604232907295227
2022/09/07/15:01:14.544130,0.7972489595413208
2022/09/07/15:01:14.767498,3.000455706114735e-08
2022/09/07/15:01:14.977806,5.532393694474917e-26
2022/09/07/15:01:15.182950,1.0079708099365234
2022/09/07/15:01:15.392590,0.7135271430015564
2022/09/07/15:01:15.594825,2.677335739135742
2022/09/07/15:01:15.804075,1.0767680406570435
2022/09/07/15:01:16.009746,1.450232744216919
2022/09/07/15:01:16.220361,1.5915544033050537
2022/09/07/15:01:16.426898,4.931141376495361
2022/09/07/15:01:16.631933,2.9281651973724365
2022/09/07/15:01:16.840616,2.010348081588745
