time,.data
2022/09/08/13:12:23.804318,7.807678315001041e-20
2022/09/08/13:12:24.012426,7.807678315001041e-20
2022/09/08/13:12:24.220994,7.807678315001041e-20
2022/09/08/13:12:24.447811,7.807678315001041e-20
2022/09/08/13:12:24.656641,7.807678315001041e-20
2022/09/08/13:12:24.866159,7.807678315001041e-20
2022/09/08/13:12:25.072866,7.807678315001041e-20
2022/09/08/13:12:25.286556,7.807678315001041e-20
2022/09/08/13:12:25.497780,7.807678315001041e-20
2022/09/08/13:12:25.705423,7.807678315001041e-20
2022/09/08/13:12:25.916680,2.758318797064799e-19
2022/09/08/13:12:26.122809,7.807678315001041e-20
2022/09/08/13:12:26.334626,7.807678315001041e-20
2022/09/08/13:12:26.539734,0.17342975735664368
2022/09/08/13:12:26.748369,2.203770399093628
2022/09/08/13:12:26.969379,4.090041160583496
2022/09/08/13:12:27.181054,8.332629203796387
2022/09/08/13:12:27.386997,7.518031120300293
2022/09/08/13:12:27.596282,10.051222801208496
2022/09/08/13:12:27.800754,20.351797103881836
2022/09/08/13:12:28.011287,16.61394691467285
2022/09/08/13:12:28.220361,8.532574653625488
2022/09/08/13:12:28.427691,5.368797302246094
2022/09/08/13:12:28.633188,4.208362102508545
2022/09/08/13:12:28.840978,5.004956245422363
2022/09/08/13:12:29.049968,26.601726531982422
2022/09/08/13:12:29.255668,10.878417015075684
2022/09/08/13:12:29.482650,7.642717361450195
2022/09/08/13:12:29.689059,6.133136749267578
2022/09/08/13:12:29.897912,16.737865447998047
2022/09/08/13:12:30.102756,13.97647762298584
2022/09/08/13:12:30.311711,9.313608169555664
2022/09/08/13:12:30.520425,12.237464904785156
2022/09/08/13:12:30.727797,8.199189186096191
2022/09/08/13:12:30.934207,6.690962314605713
2022/09/08/13:12:31.142836,12.234851837158203
2022/09/08/13:12:31.351771,8.011943817138672
2022/09/08/13:12:31.559268,12.23615837097168
2022/09/08/13:12:31.767219,18.138864517211914
2022/09/08/13:12:31.990830,8.531533241271973
2022/09/08/13:12:32.196095,15.488028526306152
2022/09/08/13:12:32.404269,11.670480728149414
2022/09/08/13:12:32.614969,5.992434024810791
2022/09/08/13:12:32.826210,8.011943817138672
2022/09/08/13:12:33.027607,9.745100975036621
2022/09/08/13:12:33.237794,8.945610046386719
2022/09/08/13:12:33.446544,7.013780117034912
2022/09/08/13:12:33.650715,10.218389511108398
2022/09/08/13:12:33.854881,7.0131378173828125
2022/09/08/13:12:34.063298,12.73913288116455
2022/09/08/13:12:34.270111,13.356202125549316
2022/09/08/13:12:34.489961,9.988386154174805
2022/09/08/13:12:34.700803,7.176383018493652
2022/09/08/13:12:34.904290,10.71204948425293
2022/09/08/13:12:35.107824,10.635176658630371
2022/09/08/13:12:35.316661,15.885586738586426
2022/09/08/13:12:35.521366,4.8108696937561035
2022/09/08/13:12:35.726229,9.990824699401855
2022/09/08/13:12:35.936371,3.223021984100342
2022/09/08/13:12:36.140817,8.945610046386719
2022/09/08/13:12:36.348784,7.526639938354492
2022/09/08/13:12:36.557565,6.738399982452393
2022/09/08/13:12:36.764446,12.736411094665527
2022/09/08/13:12:36.969657,13.662299156188965
2022/09/08/13:12:37.190247,8.806249618530273
2022/09/08/13:12:37.397382,7.178025722503662
2022/09/08/13:12:37.604256,6.000394344329834
2022/09/08/13:12:37.810895,5.497959136962891
2022/09/08/13:12:38.016355,7.176383018493652
2022/09/08/13:12:38.228372,5.499301910400391
