time,.data
2022/09/12/10:48:05.792528,7.807678315001041e-20
2022/09/12/10:48:06.001618,7.807678315001041e-20
2022/09/12/10:48:06.208451,7.807678315001041e-20
2022/09/12/10:48:06.418732,7.807678315001041e-20
2022/09/12/10:48:06.644429,7.807678315001041e-20
2022/09/12/10:48:06.855577,7.807678315001041e-20
2022/09/12/10:48:07.065461,7.807678315001041e-20
2022/09/12/10:48:07.273720,7.807678315001041e-20
2022/09/12/10:48:07.484122,7.807678315001041e-20
2022/09/12/10:48:07.691477,7.807678315001041e-20
2022/09/12/10:48:07.903070,7.807678315001041e-20
2022/09/12/10:48:08.110003,7.807678315001041e-20
2022/09/12/10:48:08.318080,7.807678315001041e-20
2022/09/12/10:48:08.526679,7.807678315001041e-20
2022/09/12/10:48:08.737287,7.807678315001041e-20
2022/09/12/10:48:08.944138,7.807678315001041e-20
2022/09/12/10:48:09.171477,7.807678315001041e-20
2022/09/12/10:48:09.384758,7.807678315001041e-20
2022/09/12/10:48:09.594290,7.807678315001041e-20
2022/09/12/10:48:09.802942,7.807678315001041e-20
2022/09/12/10:48:10.010684,7.807678315001041e-20
2022/09/12/10:48:10.218115,7.807678315001041e-20
2022/09/12/10:48:10.429263,7.807678315001041e-20
2022/09/12/10:48:10.636311,7.807678315001041e-20
2022/09/12/10:48:10.847071,7.807678315001041e-20
2022/09/12/10:48:11.055537,7.807678315001041e-20
2022/09/12/10:48:11.262978,7.807678315001041e-20
2022/09/12/10:48:11.471769,7.807678315001041e-20
2022/09/12/10:48:11.702289,7.807678315001041e-20
2022/09/12/10:48:11.911492,7.807678315001041e-20
2022/09/12/10:48:12.119607,7.807678315001041e-20
2022/09/12/10:48:12.329703,7.807678315001041e-20
2022/09/12/10:48:12.539216,7.807678315001041e-20
2022/09/12/10:48:12.745786,7.807678315001041e-20
2022/09/12/10:48:12.956038,7.807678315001041e-20
2022/09/12/10:48:13.163363,7.807678315001041e-20
2022/09/12/10:48:13.373954,7.807678315001041e-20
2022/09/12/10:48:13.583587,7.807678315001041e-20
2022/09/12/10:48:13.790541,7.807678315001041e-20
2022/09/12/10:48:13.999509,7.807678315001041e-20
2022/09/12/10:48:14.227759,7.807678315001041e-20
2022/09/12/10:48:14.437003,7.807678315001041e-20
2022/09/12/10:48:14.647252,7.807678315001041e-20
2022/09/12/10:48:14.856014,7.807678315001041e-20
2022/09/12/10:48:15.063367,7.807678315001041e-20
2022/09/12/10:48:15.272193,7.807678315001041e-20
2022/09/12/10:48:15.481474,7.807678315001041e-20
2022/09/12/10:48:15.690462,7.807678315001041e-20
2022/09/12/10:48:15.901333,7.807678315001041e-20
2022/09/12/10:48:16.110744,1.3410128013617802e-19
2022/09/12/10:48:16.316551,7.807678315001041e-20
2022/09/12/10:48:16.529388,7.807678315001041e-20
2022/09/12/10:48:16.755830,7.807678315001041e-20
2022/09/12/10:48:16.964817,7.807678315001041e-20
2022/09/12/10:48:17.174227,7.807678315001041e-20
2022/09/12/10:48:17.381275,1.1197670614161633e-19
2022/09/12/10:48:17.592977,7.807678315001041e-20
2022/09/12/10:48:17.800451,7.807678315001041e-20
2022/09/12/10:48:18.008019,7.807678315001041e-20
2022/09/12/10:48:18.217101,7.807678315001041e-20
2022/09/12/10:48:18.428227,7.807678315001041e-20
2022/09/12/10:48:18.636688,7.807678315001041e-20
2022/09/12/10:48:18.845639,7.807678315001041e-20
2022/09/12/10:48:19.052373,7.807678315001041e-20
2022/09/12/10:48:19.278949,7.807678315001041e-20
2022/09/12/10:48:19.487845,7.807678315001041e-20
2022/09/12/10:48:19.695401,1.6059639214413434e-19
2022/09/12/10:48:19.900241,7.807678315001041e-20
2022/09/12/10:48:20.109733,7.807678315001041e-20
2022/09/12/10:48:20.320385,7.807678315001041e-20
2022/09/12/10:48:20.527613,7.807678315001041e-20
2022/09/12/10:48:20.738559,7.807678315001041e-20
2022/09/12/10:48:20.945657,7.807678315001041e-20
2022/09/12/10:48:21.151218,7.807678315001041e-20
2022/09/12/10:48:21.360054,7.807678315001041e-20
2022/09/12/10:48:21.569322,7.807678315001041e-20
2022/09/12/10:48:21.794285,7.807678315001041e-20
2022/09/12/10:48:22.003118,7.807678315001041e-20
2022/09/12/10:48:22.208543,7.807678315001041e-20
2022/09/12/10:48:22.415533,9.350333322025785e-20
2022/09/12/10:48:22.625434,7.807678315001041e-20
2022/09/12/10:48:22.835499,7.807678315001041e-20
2022/09/12/10:48:23.042364,7.807678315001041e-20
2022/09/12/10:48:23.253140,7.807678315001041e-20
2022/09/12/10:48:23.457991,7.807678315001041e-20
2022/09/12/10:48:23.664217,7.807678315001041e-20
2022/09/12/10:48:23.869703,7.807678315001041e-20
2022/09/12/10:48:24.080161,7.807678315001041e-20
2022/09/12/10:48:24.303210,7.807678315001041e-20
