time,.data
2022/09/07/15:54:51.523306,5.532393694474917e-26
2022/09/07/15:54:51.722991,8.869530470758829e-26
2022/09/07/15:54:51.930909,5.532393694474917e-26
2022/09/07/15:54:52.138630,5.532393694474917e-26
2022/09/07/15:54:52.348870,5.532393694474917e-26
2022/09/07/15:54:52.556244,5.532393694474917e-26
2022/09/07/15:54:52.764494,5.532393694474917e-26
2022/09/07/15:54:52.970917,5.532393694474917e-26
2022/09/07/15:54:53.179112,5.532393694474917e-26
2022/09/07/15:54:53.388979,7.004979451476028e-26
2022/09/07/15:54:53.614037,5.532393694474917e-26
2022/09/07/15:54:53.823166,5.532393694474917e-26
2022/09/07/15:54:54.030871,5.532393694474917e-26
2022/09/07/15:54:54.235111,5.532393694474917e-26
2022/09/07/15:54:54.445650,5.532393694474917e-26
2022/09/07/15:54:54.656168,5.532393694474917e-26
2022/09/07/15:54:54.865902,5.532393694474917e-26
2022/09/07/15:54:55.076822,5.532393694474917e-26
2022/09/07/15:54:55.275463,5.532393694474917e-26
2022/09/07/15:54:55.486301,5.532393694474917e-26
2022/09/07/15:54:55.694999,0.03052973747253418
2022/09/07/15:54:55.895281,17.64535903930664
2022/09/07/15:54:56.119093,6.207444190979004
2022/09/07/15:54:56.325824,5.532393694474917e-26
2022/09/07/15:54:56.533221,5.532393694474917e-26
2022/09/07/15:54:56.744365,2.2796778540393627e-25
2022/09/07/15:54:56.952487,5.532393694474917e-26
2022/09/07/15:54:57.157002,1.7559202909469604
2022/09/07/15:54:57.360302,10.537489891052246
2022/09/07/15:54:57.565430,9.708627700805664
2022/09/07/15:54:57.769718,4.7175493240356445
2022/09/07/15:54:57.975401,8.665521621704102
2022/09/07/15:54:58.179955,10.87729549407959
2022/09/07/15:54:58.384124,4.574150562286377
2022/09/07/15:54:58.588881,18.549829483032227
2022/09/07/15:54:58.812281,26.934301376342773
2022/09/07/15:54:59.011958,18.40070152282715
