time,.data
2022/09/08/13:20:42.004555,3.2358020689571276e-05
2022/09/08/13:20:42.232471,1.7298154489253648e-05
2022/09/08/13:20:42.440597,1.7327085515717044e-05
2022/09/08/13:20:42.650444,9.235467587132007e-06
2022/09/08/13:20:42.856378,6.263015620788792e-06
2022/09/08/13:20:43.066739,4.386189630167792e-06
2022/09/08/13:20:43.273953,2.53422767855227e-05
2022/09/08/13:20:43.486770,6.517929250549059e-06
2022/09/08/13:20:43.697554,4.016478669655044e-06
2022/09/08/13:20:43.914869,1.6163190593943e-05
2022/09/08/13:20:44.115909,1.747510214045178e-05
2022/09/08/13:20:44.323642,1.8614788132254034e-05
2022/09/08/13:20:44.532842,1.8094722690875642e-05
2022/09/08/13:20:44.762477,1.0075770660478156e-05
2022/09/08/13:20:44.965602,4.171254659013357e-06
2022/09/08/13:20:45.174500,2.7376486286811996e-06
2022/09/08/13:20:45.384771,6.535516738891602
2022/09/08/13:20:45.589560,6.843365669250488
2022/09/08/13:20:45.796657,8.721600532531738
2022/09/08/13:20:46.003258,8.520865440368652
2022/09/08/13:20:46.212854,5.993896961212158
2022/09/08/13:20:46.415257,13.12688159942627
2022/09/08/13:20:46.620277,16.363611221313477
