time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/16:23:15.436929,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:15.545329,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:15.651115,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:15.762271,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:15.871165,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:15.976571,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.084343,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.192316,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.298764,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.407181,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.515606,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.622070,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.729808,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.836504,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:16.944309,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.054344,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.162802,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.269964,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.377988,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.485907,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.593151,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.700059,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.805677,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/09/16:23:17.910600,1,0,1,3,0,0,0,0,3,0,255,6,2,0,6,3,0,6,4,0,137,0
2022/09/09/16:23:18.018674,1,0,1,3,0,0,0,0,3,0,255,9,2,0,7,2,0,7,2,0,137,0
2022/09/09/16:23:18.125770,1,0,1,3,0,0,0,0,3,0,255,11,2,0,10,2,0,10,2,0,137,0
2022/09/09/16:23:18.234101,1,0,1,3,0,0,0,0,3,0,255,14,2,0,13,2,0,13,2,0,137,0
2022/09/09/16:23:18.342298,1,0,1,3,0,0,0,0,3,0,255,17,2,0,16,2,0,16,2,0,137,0
2022/09/09/16:23:18.450425,1,0,1,3,0,0,0,0,3,0,255,19,2,0,19,2,0,19,2,0,137,0
2022/09/09/16:23:18.555407,1,0,1,3,0,0,0,0,3,0,255,22,2,0,22,2,0,22,2,0,137,0
2022/09/09/16:23:18.662511,1,0,1,3,0,0,0,0,3,0,255,25,2,0,25,2,0,25,2,0,137,0
2022/09/09/16:23:18.771259,1,0,1,3,0,0,0,0,3,0,255,27,2,0,27,2,0,27,2,0,137,0
2022/09/09/16:23:18.877094,1,0,1,3,0,0,0,0,3,0,255,30,2,0,30,2,0,30,2,0,137,0
2022/09/09/16:23:18.982707,1,0,1,3,0,0,0,0,3,0,255,33,2,0,33,2,0,33,2,0,137,0
2022/09/09/16:23:19.090225,1,0,1,3,0,0,0,0,3,0,255,35,2,0,35,2,0,35,2,0,137,0
2022/09/09/16:23:19.197284,1,0,1,3,0,0,0,0,3,0,255,38,2,0,38,2,0,38,2,0,137,0
2022/09/09/16:23:19.303801,1,0,1,3,0,0,0,0,3,0,255,41,2,0,41,2,0,41,2,0,137,0
2022/09/09/16:23:19.409098,1,0,1,3,0,0,0,0,3,0,255,43,2,0,43,2,0,43,2,0,137,0
2022/09/09/16:23:19.515758,1,0,1,3,0,0,0,0,3,0,255,46,2,0,46,2,0,46,2,0,137,0
2022/09/09/16:23:19.623552,1,0,1,3,0,0,0,0,3,0,255,49,2,0,49,2,0,49,2,0,137,0
2022/09/09/16:23:19.728119,1,0,1,3,0,0,0,0,3,0,255,51,2,0,51,2,0,51,2,0,137,0
2022/09/09/16:23:19.834595,1,0,1,3,0,0,0,0,3,0,255,54,2,0,54,2,0,54,2,0,137,0
2022/09/09/16:23:19.941390,1,0,1,3,0,0,0,0,3,0,255,57,2,0,57,2,0,57,2,0,137,0
2022/09/09/16:23:20.047453,1,0,1,3,0,0,0,0,3,0,255,59,2,0,59,2,0,59,2,0,137,0
2022/09/09/16:23:20.153770,1,0,1,3,0,0,0,0,3,0,255,62,3,0,62,3,0,62,2,0,137,0
2022/09/09/16:23:20.262870,1,0,1,3,0,0,0,0,3,0,255,64,7,0,64,5,0,64,4,0,137,0
2022/09/09/16:23:20.369740,1,0,1,3,0,0,0,0,3,0,255,67,13,0,67,7,0,67,7,0,137,0
2022/09/09/16:23:20.474758,1,0,1,3,0,0,0,0,3,0,255,69,20,0,69,10,0,69,9,0,137,0
2022/09/09/16:23:20.580067,1,0,1,3,0,0,0,0,3,0,255,71,25,0,71,11,0,72,11,0,137,0
2022/09/09/16:23:20.687076,1,0,1,3,0,2,0,0,3,0,255,72,0,0,74,14,0,74,14,0,137,0
2022/09/09/16:23:20.792510,1,0,1,3,0,2,0,0,3,0,255,72,0,0,76,19,0,77,13,0,137,0
2022/09/09/16:23:20.899579,1,0,1,3,0,2,0,0,3,0,255,72,0,0,78,23,0,79,17,0,137,0
2022/09/09/16:23:21.004965,1,0,1,3,0,2,0,0,3,0,255,72,0,0,81,28,0,82,18,0,137,0
2022/09/09/16:23:21.111862,1,0,1,3,0,2,0,0,3,0,255,72,0,0,83,36,0,84,21,0,137,0
2022/09/09/16:23:21.219318,1,0,1,3,0,2,2,0,3,0,255,72,0,0,84,0,0,86,27,0,137,0
2022/09/09/16:23:21.327792,1,0,1,3,0,0,0,0,3,0,0,72,3,0,83,1,0,88,2,0,137,0
2022/09/09/16:23:21.434127,1,0,1,3,0,0,0,0,3,0,0,71,10,0,82,4,0,86,4,0,137,0
2022/09/09/16:23:21.542841,1,0,1,3,0,0,0,0,3,0,0,68,7,0,79,3,0,83,3,0,137,0
2022/09/09/16:23:21.649014,1,0,1,3,0,0,0,0,3,0,255,65,1,0,76,2,0,81,2,0,137,0
2022/09/09/16:23:21.761522,1,0,1,3,0,0,0,0,3,0,255,67,29,0,78,9,0,82,13,0,137,0
2022/09/09/16:23:21.867958,1,0,1,3,0,2,0,0,3,0,255,68,0,0,80,14,0,84,18,0,137,0
2022/09/09/16:23:21.975413,1,0,1,3,0,2,0,0,3,0,255,68,0,0,82,19,0,86,21,0,137,0
2022/09/09/16:23:22.081978,1,0,1,3,0,2,0,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.188841,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.296429,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.403968,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.513914,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.623147,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.733753,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.842650,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:22.950029,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.056103,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.167099,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.272981,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.382240,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.491210,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.598873,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.707310,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.817102,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
2022/09/09/16:23:23.927925,1,0,1,3,2,2,2,2,3,0,255,68,0,0,84,0,0,88,0,0,137,0
