time,.data
2022/09/08/13:40:21.446171,7.807678315001041e-20
2022/09/08/13:40:21.654880,7.807678315001041e-20
2022/09/08/13:40:21.861910,7.807678315001041e-20
2022/09/08/13:40:22.076013,7.807678315001041e-20
2022/09/08/13:40:22.296311,7.807678315001041e-20
2022/09/08/13:40:22.505583,9.350333322025785e-20
2022/09/08/13:40:22.722355,7.807678315001041e-20
2022/09/08/13:40:22.928090,7.807678315001041e-20
2022/09/08/13:40:23.140584,7.807678315001041e-20
2022/09/08/13:40:23.344000,7.807678315001041e-20
2022/09/08/13:40:23.553349,7.807678315001041e-20
2022/09/08/13:40:23.762198,7.807678315001041e-20
2022/09/08/13:40:23.972053,7.807678315001041e-20
2022/09/08/13:40:24.180524,7.807678315001041e-20
2022/09/08/13:40:24.389679,6.794557711256779e-19
2022/09/08/13:40:24.599442,7.807678315001041e-20
2022/09/08/13:40:24.822624,7.807678315001041e-20
2022/09/08/13:40:25.031560,9.350333322025785e-20
2022/09/08/13:40:25.244388,7.807678315001041e-20
2022/09/08/13:40:25.454542,6.794557711256779e-19
2022/09/08/13:40:25.663062,3.1679288653300724e-18
2022/09/08/13:40:25.870905,0.5378943085670471
2022/09/08/13:40:26.078284,4.817554950714111
2022/09/08/13:40:26.288152,3.852393865585327
2022/09/08/13:40:26.494737,4.862085819244385
2022/09/08/13:40:26.706662,6.891147613525391
2022/09/08/13:40:26.911661,5.552506446838379
2022/09/08/13:40:27.120859,4.983466148376465
2022/09/08/13:40:27.343111,5.552506446838379
2022/09/08/13:40:27.552593,4.522981643676758
2022/09/08/13:40:27.761514,6.185768127441406
2022/09/08/13:40:27.969946,6.485795497894287
2022/09/08/13:40:28.177781,9.770263671875
