time,.data
2022/09/12/13:21:11.112691,5.532393694474917e-26
2022/09/12/13:21:11.321522,5.532393694474917e-26
2022/09/12/13:21:11.531332,5.532393694474917e-26
2022/09/12/13:21:11.740789,5.532393694474917e-26
2022/09/12/13:21:11.949552,5.532393694474917e-26
2022/09/12/13:21:12.164263,5.532393694474917e-26
2022/09/12/13:21:12.373206,5.532393694474917e-26
2022/09/12/13:21:12.586767,5.532393694474917e-26
2022/09/12/13:21:12.791765,5.532393694474917e-26
2022/09/12/13:21:13.004352,5.532393694474917e-26
2022/09/12/13:21:13.206594,5.532393694474917e-26
2022/09/12/13:21:13.414495,5.532393694474917e-26
2022/09/12/13:21:13.639851,5.532393694474917e-26
2022/09/12/13:21:13.849667,5.532393694474917e-26
2022/09/12/13:21:14.057913,5.532393694474917e-26
2022/09/12/13:21:14.266701,5.532393694474917e-26
2022/09/12/13:21:14.481254,5.532393694474917e-26
2022/09/12/13:21:14.690829,5.532393694474917e-26
2022/09/12/13:21:14.898034,5.532393694474917e-26
2022/09/12/13:21:15.108029,5.532393694474917e-26
2022/09/12/13:21:15.316270,5.532393694474917e-26
2022/09/12/13:21:15.524166,5.532393694474917e-26
2022/09/12/13:21:15.732613,5.532393694474917e-26
2022/09/12/13:21:15.944100,5.532393694474917e-26
2022/09/12/13:21:16.166833,5.532393694474917e-26
2022/09/12/13:21:16.377803,5.532393694474917e-26
2022/09/12/13:21:16.585714,5.532393694474917e-26
2022/09/12/13:21:16.797673,5.532393694474917e-26
2022/09/12/13:21:17.008317,5.532393694474917e-26
2022/09/12/13:21:17.215583,5.532393694474917e-26
2022/09/12/13:21:17.426046,5.532393694474917e-26
2022/09/12/13:21:17.634964,5.532393694474917e-26
2022/09/12/13:21:17.843888,5.532393694474917e-26
2022/09/12/13:21:18.050903,2.2796778540393627e-25
2022/09/12/13:21:18.260233,1.906844440861545e-24
2022/09/12/13:21:18.468593,8.869530470758829e-26
2022/09/12/13:21:18.694147,1.286443829536438
2022/09/12/13:21:18.902954,9.417680740356445
2022/09/12/13:21:19.112062,14.628069877624512
2022/09/12/13:21:19.316747,11.572285652160645
2022/09/12/13:21:19.527615,12.98488998413086
2022/09/12/13:21:19.732248,9.508359909057617
2022/09/12/13:21:19.939726,10.032720565795898
2022/09/12/13:21:20.148509,23.5506591796875
2022/09/12/13:21:20.354210,19.637718200683594
2022/09/12/13:21:20.563192,22.72217559814453
