time,.data
2022/09/12/10:58:09.062317,7.004979451476028e-26
2022/09/12/10:58:09.271154,5.532393694474917e-26
2022/09/12/10:58:09.481369,5.532393694474917e-26
2022/09/12/10:58:09.707592,5.532393694474917e-26
2022/09/12/10:58:09.914573,5.532393694474917e-26
2022/09/12/10:58:10.125732,5.532393694474917e-26
2022/09/12/10:58:10.331754,5.532393694474917e-26
2022/09/12/10:58:10.540771,5.532393694474917e-26
2022/09/12/10:58:10.749760,5.532393694474917e-26
2022/09/12/10:58:10.958647,5.532393694474917e-26
2022/09/12/10:58:11.171316,5.532393694474917e-26
2022/09/12/10:58:11.380680,5.532393694474917e-26
2022/09/12/10:58:11.589170,5.532393694474917e-26
2022/09/12/10:58:11.806809,5.532393694474917e-26
2022/09/12/10:58:12.008756,5.532393694474917e-26
2022/09/12/10:58:12.245223,5.532393694474917e-26
2022/09/12/10:58:12.441172,5.532393694474917e-26
2022/09/12/10:58:12.652267,7.004979451476028e-26
2022/09/12/10:58:12.861873,5.532393694474917e-26
2022/09/12/10:58:13.071936,5.532393694474917e-26
2022/09/12/10:58:13.281639,5.532393694474917e-26
2022/09/12/10:58:13.491488,5.532393694474917e-26
2022/09/12/10:58:13.700294,5.532393694474917e-26
2022/09/12/10:58:13.909398,5.532393694474917e-26
2022/09/12/10:58:14.120340,5.532393694474917e-26
2022/09/12/10:58:14.330172,5.532393694474917e-26
2022/09/12/10:58:14.536486,5.532393694474917e-26
2022/09/12/10:58:14.759585,5.532393694474917e-26
2022/09/12/10:58:14.968693,5.532393694474917e-26
2022/09/12/10:58:15.180896,5.532393694474917e-26
2022/09/12/10:58:15.387730,5.532393694474917e-26
2022/09/12/10:58:15.596853,5.532393694474917e-26
2022/09/12/10:58:15.806079,5.532393694474917e-26
2022/09/12/10:58:16.018221,5.532393694474917e-26
2022/09/12/10:58:16.230248,5.532393694474917e-26
2022/09/12/10:58:16.435427,5.532393694474917e-26
2022/09/12/10:58:16.644170,5.532393694474917e-26
2022/09/12/10:58:16.854813,8.869530470758829e-26
2022/09/12/10:58:17.065067,5.532393694474917e-26
2022/09/12/10:58:17.286986,5.532393694474917e-26
2022/09/12/10:58:17.495828,5.532393694474917e-26
2022/09/12/10:58:17.704420,5.532393694474917e-26
2022/09/12/10:58:17.913261,5.532393694474917e-26
2022/09/12/10:58:18.122020,5.532393694474917e-26
2022/09/12/10:58:18.335255,5.532393694474917e-26
2022/09/12/10:58:18.544039,5.532393694474917e-26
2022/09/12/10:58:18.754569,5.532393694474917e-26
2022/09/12/10:58:18.964623,5.532393694474917e-26
2022/09/12/10:58:19.172711,5.532393694474917e-26
2022/09/12/10:58:19.381301,5.532393694474917e-26
2022/09/12/10:58:19.595776,5.532393694474917e-26
2022/09/12/10:58:19.815731,5.532393694474917e-26
2022/09/12/10:58:20.027864,5.532393694474917e-26
2022/09/12/10:58:20.231869,5.532393694474917e-26
2022/09/12/10:58:20.440967,5.532393694474917e-26
2022/09/12/10:58:20.653499,5.532393694474917e-26
2022/09/12/10:58:20.862750,5.532393694474917e-26
2022/09/12/10:58:21.071916,5.532393694474917e-26
2022/09/12/10:58:21.291866,2.4143993222177807e-24
2022/09/12/10:58:21.488869,5.532393694474917e-26
2022/09/12/10:58:21.700433,1.8004443610795322e-25
2022/09/12/10:58:21.907905,5.532393694474917e-26
2022/09/12/10:58:22.116544,5.532393694474917e-26
2022/09/12/10:58:22.342579,5.532393694474917e-26
2022/09/12/10:58:22.551079,5.532393694474917e-26
2022/09/12/10:58:22.759211,1.9436113834381104
2022/09/12/10:58:22.967360,9.557817459106445
2022/09/12/10:58:23.176842,5.657723426818848
2022/09/12/10:58:23.385341,7.332147598266602
2022/09/12/10:58:23.589633,4.522791385650635
2022/09/12/10:58:23.800199,5.4521989822387695
2022/09/12/10:58:24.009297,7.862405776977539
2022/09/12/10:58:24.218195,6.01040506362915
2022/09/12/10:58:24.427193,11.443748474121094
2022/09/12/10:58:24.629911,14.024811744689941
2022/09/12/10:58:24.857239,15.21682071685791
2022/09/12/10:58:25.061812,13.188164710998535
