time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/08/12:55:22.239726,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.353087,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.457415,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.566957,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.675915,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.781424,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.892540,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:22.998181,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.106183,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.213255,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.319993,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.426055,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.536288,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.642552,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.750686,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.861764,1,0,1,3,3,3,3,3,3,0,0,6,0,0,6,0,0,6,0,0,137,0
2022/09/08/12:55:23.972401,1,0,1,3,0,0,0,0,3,0,255,6,2,0,6,3,0,6,2,0,137,0
2022/09/08/12:55:24.080400,1,0,1,3,0,0,0,0,3,0,255,9,2,0,9,2,0,9,2,0,137,0
2022/09/08/12:55:24.188753,1,0,1,3,0,0,0,0,3,0,255,12,2,0,12,2,0,12,2,0,137,0
2022/09/08/12:55:24.294975,1,0,1,3,0,0,0,0,3,0,255,14,2,0,14,2,0,14,2,0,137,0
2022/09/08/12:55:24.401414,1,0,1,3,0,0,0,0,3,0,255,17,2,0,17,2,0,17,2,0,137,0
2022/09/08/12:55:24.507222,1,0,1,3,0,0,0,0,3,0,255,20,2,0,20,2,0,20,2,0,137,0
2022/09/08/12:55:24.621753,1,0,1,3,0,0,0,0,3,0,255,23,2,0,23,2,0,23,2,0,137,0
2022/09/08/12:55:24.729091,1,0,1,3,0,0,0,0,3,0,255,25,2,0,25,2,0,25,2,0,137,0
2022/09/08/12:55:24.835522,1,0,1,3,0,0,0,0,3,0,255,28,2,0,28,2,0,28,2,0,137,0
2022/09/08/12:55:24.942544,1,0,1,3,0,0,0,0,3,0,255,31,2,0,31,2,0,31,2,0,137,0
2022/09/08/12:55:25.049074,1,0,1,3,0,0,0,0,3,0,255,33,2,0,33,2,0,33,2,0,137,0
2022/09/08/12:55:25.162105,1,0,1,3,0,0,0,0,3,0,255,36,2,0,36,2,0,36,2,0,137,0
2022/09/08/12:55:25.268669,1,0,1,3,0,0,0,0,3,0,255,39,2,0,39,2,0,39,2,0,137,0
2022/09/08/12:55:25.378365,1,0,1,3,0,0,0,0,3,0,255,42,2,0,42,2,0,42,2,0,137,0
2022/09/08/12:55:25.483969,1,0,1,3,0,0,0,0,3,0,255,45,2,0,45,2,0,45,2,0,137,0
2022/09/08/12:55:25.590895,1,0,1,3,0,0,0,0,3,0,255,47,2,0,47,2,0,47,2,0,137,0
2022/09/08/12:55:25.698094,1,0,1,3,0,0,0,0,3,0,255,50,2,0,50,2,0,50,2,0,137,0
2022/09/08/12:55:25.805325,1,0,1,3,0,0,0,0,3,0,255,53,2,0,53,2,0,53,2,0,137,0
2022/09/08/12:55:25.911003,1,0,1,3,0,0,0,0,3,0,255,55,2,0,55,2,0,55,2,0,137,0
2022/09/08/12:55:26.018330,1,0,1,3,0,0,0,0,3,0,255,58,2,0,58,2,0,58,2,0,137,0
2022/09/08/12:55:26.129008,1,0,1,3,0,0,0,0,3,0,255,61,2,0,61,2,0,61,2,0,137,0
2022/09/08/12:55:26.235805,1,0,1,3,0,0,0,0,3,0,255,64,2,0,64,2,0,64,2,0,137,0
2022/09/08/12:55:26.344066,1,0,1,3,0,0,0,0,3,0,255,66,2,0,66,2,0,66,2,0,137,0
2022/09/08/12:55:26.453458,1,0,1,3,0,0,0,0,3,0,255,69,2,0,69,2,0,69,2,0,137,0
2022/09/08/12:55:26.559895,1,0,1,3,0,0,0,0,3,0,255,72,2,0,72,2,0,72,2,0,137,0
2022/09/08/12:55:26.669755,1,0,1,3,0,0,0,0,3,0,255,74,2,0,74,2,0,74,2,0,137,0
2022/09/08/12:55:26.777372,1,0,1,3,0,0,0,0,3,0,255,77,2,0,77,2,0,77,2,0,137,0
2022/09/08/12:55:26.885842,1,0,1,3,0,0,0,0,3,0,255,80,2,0,80,2,0,80,2,0,137,0
2022/09/08/12:55:26.991361,1,0,1,3,0,0,0,0,3,0,255,83,2,0,83,2,0,83,2,0,137,0
2022/09/08/12:55:27.096381,1,0,1,3,0,0,0,0,3,0,255,85,2,0,85,2,0,85,2,0,137,0
2022/09/08/12:55:27.202983,1,0,1,3,0,0,0,0,3,0,255,88,2,0,88,2,0,88,2,0,137,0
2022/09/08/12:55:27.313845,1,0,1,3,0,0,0,0,3,0,255,91,2,0,91,2,0,91,2,0,137,0
2022/09/08/12:55:27.421216,1,0,1,3,0,0,0,0,3,0,255,94,2,0,94,2,0,94,2,0,137,0
2022/09/08/12:55:27.534436,1,0,1,3,0,0,0,0,3,0,255,97,2,0,97,2,0,97,2,0,137,0
2022/09/08/12:55:27.644456,1,0,1,3,0,0,0,0,3,0,255,99,2,0,99,3,0,99,2,0,137,0
2022/09/08/12:55:27.751091,1,0,1,3,0,0,0,0,3,0,255,102,2,0,102,3,0,102,2,0,137,0
2022/09/08/12:55:27.858912,1,0,1,3,0,0,0,0,3,0,255,104,6,0,104,6,0,104,3,0,137,0
2022/09/08/12:55:27.964152,1,0,1,3,0,0,0,0,3,0,255,106,29,0,106,16,0,107,9,0,137,0
2022/09/08/12:55:28.076734,1,0,1,3,0,2,0,0,3,0,255,106,0,0,108,31,0,108,20,0,137,0
2022/09/08/12:55:28.182056,1,0,1,3,0,2,2,0,3,0,255,106,0,0,108,0,0,110,34,0,137,0
2022/09/08/12:55:28.288487,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.394785,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.499972,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.605798,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.712008,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.817029,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:28.923003,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.033923,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.142214,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.252266,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.363800,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.475141,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
2022/09/08/12:55:29.587655,1,0,1,3,2,2,2,2,3,0,255,106,0,0,108,0,0,111,0,0,137,0
