time,.gACT,.gMOD,.gGTO,.gIMC,.gSTA,.gDTA,.gDTB,.gDTC,.gDTS,.gFLT,.gPRA,.gPOA,.gCUA,.gPRB,.gPOB,.gCUB,.gPRC,.gPOC,.gCUC,.gPRS,.gPOS,.gCUS
2022/09/09/15:45:32.748716,1,0,1,3,0,0,0,0,3,0,255,48,2,0,48,2,0,48,2,0,137,0
2022/09/09/15:45:32.857257,1,0,1,3,0,0,0,0,3,0,255,51,2,0,51,2,0,51,2,0,137,0
2022/09/09/15:45:32.964283,1,0,1,3,0,0,0,0,3,0,255,53,2,0,53,2,0,53,2,0,137,0
2022/09/09/15:45:33.074432,1,0,1,3,0,0,0,0,3,0,255,56,2,0,56,3,0,56,2,0,137,0
2022/09/09/15:45:33.184668,1,0,1,3,0,0,0,0,3,0,255,59,2,0,59,2,0,59,2,0,137,0
2022/09/09/15:45:33.292468,1,0,1,3,0,0,0,0,3,0,255,61,3,0,61,3,0,61,2,0,137,0
2022/09/09/15:45:33.401652,1,0,1,3,0,0,0,0,3,0,255,64,6,0,64,5,0,64,3,0,137,0
2022/09/09/15:45:33.512215,1,0,1,3,0,0,0,0,3,0,255,66,13,0,66,8,0,67,5,0,137,0
2022/09/09/15:45:33.620726,1,0,1,3,0,0,0,0,3,0,255,68,20,0,69,11,0,69,8,0,137,0
2022/09/09/15:45:33.729017,1,0,1,3,0,2,0,0,3,0,255,69,0,0,71,14,0,71,10,0,137,0
2022/09/09/15:45:33.835748,1,0,1,3,0,2,0,0,3,0,255,69,0,0,74,13,0,74,10,0,137,0
2022/09/09/15:45:33.944151,1,0,1,3,0,2,0,0,3,0,255,69,0,0,76,16,0,77,11,0,137,0
2022/09/09/15:45:34.053030,1,0,1,3,0,2,0,0,3,0,255,69,0,0,79,20,0,79,13,0,137,0
2022/09/09/15:45:34.164618,1,0,1,3,0,2,0,0,3,0,255,69,0,0,81,16,0,82,15,0,137,0
2022/09/09/15:45:34.270894,1,0,1,3,0,0,0,0,3,0,0,69,3,0,81,3,0,84,3,0,137,0
2022/09/09/15:45:34.378775,1,0,1,3,0,0,0,0,3,0,0,68,6,0,79,3,0,82,3,0,137,0
2022/09/09/15:45:34.487953,1,0,1,3,0,0,0,0,3,0,255,65,4,0,77,5,0,80,5,0,137,0
2022/09/09/15:45:34.595611,1,0,1,3,0,0,0,0,3,0,255,66,31,0,78,11,0,81,13,0,137,0
2022/09/09/15:45:34.703513,1,0,1,3,0,2,0,0,3,0,255,67,0,0,80,18,0,83,15,0,137,0
2022/09/09/15:45:34.811055,1,0,1,3,0,2,0,0,3,0,255,67,0,0,83,20,0,86,18,0,137,0
2022/09/09/15:45:34.917758,1,0,1,3,0,2,2,0,3,0,255,67,0,0,84,0,0,88,22,0,137,0
2022/09/09/15:45:35.025798,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.135628,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.243760,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.352024,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.460140,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.571914,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.680490,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.788569,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:35.900526,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.011783,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.119374,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.226481,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.335332,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.442039,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
2022/09/09/15:45:36.551024,1,0,1,3,2,2,2,2,3,0,255,67,0,0,84,0,0,89,0,0,137,0
