time,.data
2022/09/07/14:54:19.774018,5.532393694474917e-26
2022/09/07/14:54:19.980930,5.532393694474917e-26
2022/09/07/14:54:20.190152,5.532393694474917e-26
2022/09/07/14:54:20.397346,5.532393694474917e-26
2022/09/07/14:54:20.605581,5.532393694474917e-26
2022/09/07/14:54:20.814813,5.532393694474917e-26
2022/09/07/14:54:21.039734,5.532393694474917e-26
2022/09/07/14:54:21.245903,5.532393694474917e-26
2022/09/07/14:54:21.456316,5.532393694474917e-26
2022/09/07/14:54:21.663716,5.532393694474917e-26
2022/09/07/14:54:21.872331,5.532393694474917e-26
2022/09/07/14:54:22.080792,5.532393694474917e-26
2022/09/07/14:54:22.290810,5.532393694474917e-26
2022/09/07/14:54:22.495163,5.532393694474917e-26
2022/09/07/14:54:22.704885,5.532393694474917e-26
2022/09/07/14:54:22.912782,5.532393694474917e-26
2022/09/07/14:54:23.121528,5.532393694474917e-26
2022/09/07/14:54:23.331967,5.532393694474917e-26
2022/09/07/14:54:23.558691,5.532393694474917e-26
2022/09/07/14:54:23.760063,5.532393694474917e-26
2022/09/07/14:54:23.968116,5.532393694474917e-26
2022/09/07/14:54:24.178555,5.532393694474917e-26
2022/09/07/14:54:24.388475,5.532393694474917e-26
2022/09/07/14:54:24.596965,5.532393694474917e-26
2022/09/07/14:54:24.804823,5.532393694474917e-26
2022/09/07/14:54:25.010053,5.532393694474917e-26
2022/09/07/14:54:25.220003,5.532393694474917e-26
2022/09/07/14:54:25.422419,0.5029721856117249
2022/09/07/14:54:25.627174,6.628896713256836
2022/09/07/14:54:25.831614,1.6539701223373413
2022/09/07/14:54:26.057519,5.532393694474917e-26
2022/09/07/14:54:26.270496,5.532393694474917e-26
2022/09/07/14:54:26.472289,8.066192626953125
2022/09/07/14:54:26.677538,5.43367862701416
2022/09/07/14:54:26.881643,1.2297078371047974
2022/09/07/14:54:27.085046,3.943164110183716
2022/09/07/14:54:27.289959,1.9838972091674805
2022/09/07/14:54:27.498579,5.212696075439453
2022/09/07/14:54:27.703982,2.6800742149353027
2022/09/07/14:54:27.908713,2.463280439376831
